Names,Years,Duration,Genre,Rating,Stars,Votes
"Hello, Rain",2018,14,"Short, Fantasy, Sci-Fi            ",6.2,"C.J. 'Fiery' Obasi, Keira Hewatch, Tunde Aladese, Ogee Nelson, Nnedimma Gemma Ofili-Egungwu]",25
The Visit,2015,142,"Comedy, Romance, Thriller            ",6.2,"Oyefunke Fayoyin, Blossom Chukwujekwu, Nse Ikpe-Etim, Femi Jacobs, Bayray McNwizu]",5
What Lies Within,2017,88,"Drama, Thriller            ",6.2,"Vanessa Nzediegwu, Michelle Dede, Ken Erics, Vanessa Nzediegwu, Odenike Odetola]",7
Rehearsal,2021,80,"Short, Drama            ",6.2,"Michael Omonua, Ruby Akubueze, Chimezie Imo, Amanda Oruh, Brutus Richard]",14
Shehu Umar,1976,150,Drama            ,6.2,"Adamu Halilu, Mairiga Aliyu, Umaru Dembo, Umaru Ladan, Assad Yasin]",13
Lunch Time Heroes,2015,15,Family            ,6.2,"Seyi Babatope, Diana Yekinni, Dakore Akande, Odenike Odetola, Ijeoma Aniebo]",18
Owo Blow: The Genesis,1997,22,Drama            ,6.2,"See full summary, Tade Ogidan, Femi Adebayo, Prince Leke Ajao, Kunle Ajediti, Bimbo Akintola]",5
Hooligans,1999,30,"Action, Drama, Romance            ",6.2,"Add a Plot, Tony Muonagor, Ayo Adesanya Hassan, Ejike Asiegbu, Okey Bakasi, Ejike Metusela]",6
30 Days,2006,99,"Short, Drama, Family            ",6.2,"See full summary, Mildred Okwo, Iyabo Amoke, Chet Anekwe, Segun Arinze, Najite Dede]",17
Big Man,2012,107,Drama            ,6.2,"Julius Onah, Adekunle Adeleke, Tunbosun Aiyedehin, Michael Asuelime, Kaptaintony Ofili-Akpom]",19
Unbreakable,2004,85,"Short, Drama            ",6.2,"Add a Plot, Frank O. Vaughan, Oscar Adiele, Dorris Agarason, Sylvia Agarason, Padita Agu]",13
Gone Nine Months,2017,100,Drama            ,6.2,"Lola Okusami, Najite Dede, Zoe Favour, Inimfon Iniama]",5
Throwing Stones,2010,119,"Comedy, Fantasy            ",6.2,"Success Akpojotor, Rita Okolo, Desmond Walter-Oriakhi, Pat Otokiti]",18
The Razz Guy,2021,104,Romance            ,6.3,"Udoka Oyeka, Lasisi Elenu, Nancy Isime, Omotunde Adebowale David, Shalewa Ashafa]",38
2 Weeks in Lagos,2019,120,Drama            ,6.3,"See full synopsis, Kathryn Fasegha, Toyin Abraham, Bambo Adebowale, Lawal Aramide, Ayanlola Ayankunle]",51
Mama Drama,2020,106,"Comedy, Drama            ",6.3,"Add a Plot, Seyi Babatope, Osas Ighodaro, Kunle Remi, Kehinde Bankole, Femi Adebayo]",8
Mokalik (Mechanic),2019,148,Drama            ,6.3,"See full summary, Kunle Afolayan, Tooni Afolayan, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji]",157
11 Days 11 Nights,2005,110,Thriller            ,6.3,"Add a Plot, Kabat Esosa Egbon, Dakore Akande, Toyin Alausa, Frank Ani, Tega Arhuere]",15
4th Republic,2019,86,"Drama, Family, Romance            ",6.3,"See full summary, Ishaya Bako, Alfred 'Six Foot Plus' Atungu, Kayode Aiyegbusi, Audu Altine, Faith Animasahul]",51
Tango with Me,2010,99,Comedy            ,6.3,"Add a Plot, Mahmood Ali-Balogun, Sunday Afolabi, Queen Ahune, Bimbo Akintola, Sade Alder-Hayes]",47
Stupid Movie,2015,83,Drama            ,6.3,"Add a Plot, Stanlee Ohikhuare, Femi Akeredolu, Ganiyu Ayinde, Bashiru Balogun, Daniel O. David]",8
Doctor Lanre,2021,107,"Action, Drama            ",6.3,"Ayoka Thompson, Okey Uzoeshi, Femi Branch, Bolaji Ogunmola, Kachi Nnochiri]",45
Critical Decision,2004,116,Comedy            ,6.3,"Add a Plot, Lancelot Oduwa Imasuen, Prince Emeka Ani, Stephanie Linus, Richard Mofe-Damijo, Genevieve Nnaji]",12
Lies Men Tell 1 & 2,2013,97,"Crime, Drama, Mystery            ",6.3,"Ikechukwu Onyeka, Folake Amanfo, Korode Babatunde, Mofe Duncan, Aret Edet]",9
Home Alone,2006,100,"Comedy, Romance            ",6.3,"Add a Plot, Stanley Anaekwe, Okey McAnthony, Alaso Wariboko]",24
October 1,2014,90,Comedy            ,6.4,"Kunle Afolayan, Sadiq Daba, Kayode Olaiya, Ademola Adedoyin, David Bailie]",486
Phone Swap,2012,115,Drama            ,6.4,"Kunle Afolayan, Nse Ikpe-Etim, Wale Ojo, Joke Silva, Chika Okpala]",182
Through the Glass,2008,92,"Comedy, Drama            ",6.4,"Stephanie Linus, Garrett McKechnie, Stephanie Linus, Cheyenne Christenson, Brion Rose]",33
Tongue,2014,90,Drama            ,6.4,"See full summary, Osayande Agbontaen, Zack Orji, Tuvi James, Josephine Agbonmwanre, Legemah Henry]",7
The Johnsons,2012,30,Comedy            ,6.6,"Olumide Oworu, Ada Ameh, Chinedu Ikedieze, Charles Inojie]",12
Osuofia in London,2003,105,"Comedy, Drama            ",6.6,"See full synopsis, Kingsley Ogoro, Nkem Owoh, Mara Ashton, Francis Odega, Cynthia Okereke]",110
Bad Comments,2020,134,Comedy            ,6.6,"Moses Inwang, Jim Iyke, Osas Ighodaro, Sharon Ooja, Udomboso John Saviours]",56
Aki and Pawpaw,2021,133,"Comedy, Drama            ",6.6,"Biodun Stephen, Osita Iheme, Chinedu Ikedieze, Chioma Okafor, Stan Nze]",35
Gold Statue,2019,145,"Adventure, Comedy, Drama            ",6.6,"Tade Ogidan, Motunrayo Adeyemi, Kemi Afolabi, Gabriel Afolayan, Rychardo Agbor]",54
Kongi's Harvest,1970,85,Drama            ,6.6,"Ossie Davis, Wole Soyinka, Rasidi Onikoyi, Banjo Solaru, Femi Johnson]",36
A Place in the Stars,2014,112,"Drama, Thriller            ",6.6,"See full summary, Steve Gukas, Ibrahim Abubakar, Isiaka Adamu, Jubril Ahmed, Lantana Ahmed]",22
Hakkunde,2017,99,"Comedy, Drama            ",6.6,"See full summary, Oluseyi Asurf, Frank Donga, Rahama Sadau, Maryam Booth, Ibrahim Daddy]",49
The Ghost and the House of Truth,2019,67,Drama            ,6.6,"Akin Omotoso, Susan Wokoma, Kate Henshaw-Nuttal, Fabian Adeoye Lojede, Kemi Lala Akindoju]",41
Adia,2006,18,"Short, Drama            ",6.6,"Francis Polo, Harold Dennis, Senam Dey, Brooke Lawrence, Westly Parker]",41
Dangerous Beauty,2009,95,Drama            ,6.6,"Add a Plot, Ikechukwu Onyeka, Halimar Abubakar, Tonto Charity Dikeh, Desmond Elliot, Chika Ike]",6
A Deusa Negra,1979,64,"Drama, History            ",6.6,"See full summary, Ola Balogun, Jorge Coutinho, Sonia Santos, Zózimo Bulbul, Léa Garcia]",25
African Tales,2009,109,"Animation, Action, Adventure            ",6.6,"Obinna Onwuekwe, Sydney Ighedosa, Nsibibe Inana, Patience Njoku, Obinna Onwuekwe]",15
Private Sin 2,2003,120,Drama            ,6.6,"Add a Plot, Lancelot Oduwa Imasuen, Emma Ayalogu, Olu Jacobs, Stephanie Linus, Richard Mofe-Damijo]",5
Your Excellency,2019,115,Romance            ,6.7,"See full summary, Funke Akindele, Mike Afolarin, Kemi Lala Akindoju, Shaffy Bello, Kunle Coker]",48
Kasanova,2019,104,Thriller            ,6.7,"Oluseyi Asurf, Toyin Abraham, Odunlade Adekola, Taiwo Adeyemi, Ruby Akubueze]",56
Esohe,2017,117,"Comedy, Crime            ",6.7,"See full summary, Charles Uwagbai, Robert Peters, Maryjane Abdulsalam, Toyin Abraham, Madasriv Aby, Ugbo Adesuwa]",13
One Lagos Night,2021,113,Romance            ,6.7,"Ekene Som Mekwunye, Eniola Badmus, Ali Nuhu, Frank Donga, Ikponmwosa Gold]",19
Rule number one,2018,90,Comedy            ,6.7,"Lyndsey F. Efejuku, Bucci Franklin, Priye George, Keira Hewatch, Anita Hughes]",42
It's Her Day,2016,19,Action            ,6.7,"Add a Plot, Aniedi Awah Noba, Adunni Ade, Omobola Akinde, Shaffy Bello, Jude Chukwuka]",9
The Lost Number,2012,11,Musical            ,6.7,"Kester Nsirim, Sam Dede, Lisa Holsappel-Marrs, Sadiq Abu, Princess Edet]",27
Knocking on Heaven's Door,2014,59,Short            ,6.7,"Desmond Elliot, Majid Michel, Ini Edo, Adesua Etomi-Wellington, Blossom Chukwujekwu]",35
One Sunday Morning,1997,439,"Short, Drama            ",6.7,"Add a Plot, Manu Kurewa, Danielle Bryk, Stirling Gallacher, Erica Hunter, Michael Jempeji]",7
Troublemaker,2019,111,Drama            ,6.7,Olive Nwosu],15
Games Women Play,2005,84,Musical            ,6.7,"Add a Plot, Lancelot Oduwa Imasuen, Stella Damasus, Emeka Duru, Desmond Elliot, Nekpen Esiaje]",20
Ayamma: Music in the Forest,2016,119,"Crime, Drama            ",6.7,"Add a Plot, Chris Eneaji Eneng, Moses Armstrong, Christopher Bassey, Theresa Edem, Smart Edikan]",10
King of Boys: The Return of the King,2021,50,"Comedy, Fantasy            ",6.8,"Sola Sobowale, Efa Iwara, Titi Kuti, Nse Ikpe-Etim]",283
The Ghost and the Tout Too,2021,114,Comedy            ,6.8,"Michael Akinrogunde, Alexander Abolore, Anthony Abraham, Toyin Abraham, Lateef Adedimeji]",40
Kasala!,2018,110,Romance            ,6.8,"See full summary, Ema Edosio, Mike Afolarin, Gabriel Afolayan, Abayomi Alvin, Judith Audu]",32
Kambili: The Whole 30 Yards,2020,90,"Adventure, Drama            ",6.8,"See full summary, Kayode Kasum, Nancy Isime, Mawuli Gavor, Jide Kene Achufusi, Sharon Ooja]",49
Sitanda,2006,24,Comedy            ,6.8,"See full summary, Izu Ojukwu, Fidelis Abdulrahman, Wale Adebayo, Love Adejo, Gloria Adeyemi]",17
Ukwa,1995,105,War            ,6.8,"Add a Plot, Chika Onu, Sam Loco Efe, Amaechi Muonagor, Chinelo Ndigwe, Rita Nzelu]",7
A Soldier's Story,2015,114,"Comedy, Crime, Thriller            ",6.8,"Frankie Ogar, Baaj Adebule, Chukwuma Aligwekwe, Zainab Balogun, Daniel K. Daniel]",15
Ojukokoro (Greed),2016,106,"Drama, Romance, Thriller            ",6.8,"See full summary, Dare Olaitan, Charles Etubiebi, Tope Tedela, Seun Ajayi, Wale Ojo]",64
A Private Storm,2010,21,Comedy            ,6.8,"See full summary, Lancelot Oduwa Imasuen, Ikechukwu Onyeka, Innocent Abah, Christian Ajasaje, Peace Awak, Alex Ayalogu]",10
Jand Hustle,2013,99,Short            ,6.8,"Ehizojie Ojesebholo, Ehizojie Ojesebholo, Rachel Oniga, Oyinka Yusuff, Kevin Hallett]",7
La bague du roi Koda,1962,90,"Comedy, Drama            ",6.8,"Add a Plot, Moustapha Alassane]",6
Daddy Must Obey,2004,95,"Drama, Thriller            ",6.9,"Add a Plot, Sunday Nnajiude, Chiwetalu Agu, Don August, Asuelimhen Eromonsele, Ngozi Ezeonu]",9
Dinner,2016,116,Comedy            ,6.9,"See full summary, Jay Franklyn Jituboh, Okey Uzoeshi, Keira Hewatch, Enyinna Nwigwe, Kehinde Bankole]",47
Fate of Alakada,2020,163,Drama            ,6.9,"Kayode Kasum, Toyin Abraham, Broda Shaggi, Odunlade Adekola, Bimbo Ademoye]",58
She Is,2019,76,"Documentary, Short            ",6.9,"Add a Plot, Chris Eneaji Eneng, Somkele Iyamah-Idhalama, Chiwetalu Agu, Ime Bishop Umoh, Mawuli Gavor]",9
Charge and Bail,2021,95,"Comedy, Drama            ",7.0,"Uyoyou Adia, Femi Adebayo, Tunji Aderibigbe, Shammah Agah, Zainab Balogun]",11
The Lost Café,2018,76,Drama            ,7.0,"Kenneth Gyang, Tunde Aladese, Grace-Charis Bassey, Jenny Bonden, Tayo Citadel]",30
Couple of Days,2016,102,Drama            ,7.0,"Add a Plot, Tolu Lordtanner, Ademola Adedoyin, Unoaku Anyadike, Lilian Esoro, Adesua Etomi-Wellington]",23
B for Boy,2013,90,Drama            ,7.0,"Chika Anadu, Uche Nwadili, Ngozi Nwaneto, Nonso Odogwu, Frances Okeke]",143
Kpians: The Feast of Souls,2014,108,"Action, Horror            ",7.0,"Stanlee Ohikhuare, Ijeoma Grace Agu, Tunbosun Aiyedehin, Taiwo Gasper, Prisca Iwuoha]",11
The Blood Covenant,2022,109,"Drama, Thriller            ",7.1,"See full summary, Fiyin Gambo, Uzor Arukwe, Shalewa Ashafa, Tobi Bakre, Demi Banwo]",20
Hire a Woman,2019,72,"Comedy, Romance            ",7.1,"Ifeanyi Ikpoenyi, Uzor Arukwe, Grace-Charis Bassey, Alexx Ekubo, Ifu Ennada]",35
Osuofia in London 2,2004,105,Comedy            ,7.1,"Add a Plot, Kingsley Ogoro, Nkem Owoh, Mara Ashton, Francis Odega, Cynthia Okereke]",22
Confusion Na Wa,2013,125,"Comedy, Crime, Drama            ",7.1,"See full summary, Kenneth Gyang, Toyin Alabi, Tunde Aladese, Tina Attah, Agatha Bamgbaiye]",41
Unstoppable,2010,108,Drama            ,7.1,"Add a Plot, Fred Mayford, Yul Edochie, Gift Gabriel, Chika Ike, Muna Obiekwe]",9
If I Am President,2018,120,Thriller            ,7.1,"See full summary, Bright Wonder Obasi, Ray Adeka, Maryanne Adins, Olukayode Aiyegbusi, Rekiya Attah]",9
Last Girl Standing,2004,100,"Drama, Romance            ",7.1,"Add a Plot, John Uche, Remi Abiola, Funso Alabi, Fred Amata, Gloria Anozie]",9
Die Another Day,2004,120,"Action, Thriller            ",7.1,"See full synopsis, Tarila Thompson, Sam Dede, Enebeli Elebuwa, Ayo Emmanuel, Omotola Jalade-Ekeinde]",11
King of Thieves,2022,140,"Action, Drama, Fantasy            ",7.2,"Tope Adebayo, Adebayo Tijani, Toyin Abraham, Femi Adebayo, Azeez Adebowale, Lateef Adedimeji]",71
Voiceless,2020,93,Thriller            ,7.2,"See full summary, Robert Peters, Mary Anawo, Musa Ashoms, Rekiya Attah, Thankgod Bitrus]",40
Fine Wine,2021,111,Romance            ,7.2,"Seyi Babatope, Baaj Adebule, Ademola Adedoyin, Segun Arinze, Kameel Audu]",52
Ile Owo,2022,113,Thriller            ,7.2,"Add a Plot, Dare Olaitan, Bukunmi Adeaga-Ilori, Ademola Adedoyin, Bisola Aiyeola, Sophie Alakija]",8
Billionaires Club,2003,75,Drama            ,7.2,"Add a Plot, Afam Okereke, Fabian Adibe, Nebechi Adione, Sam Ajah, Chuma Ajoku]",6
This Lady Called Life,2020,50,Drama            ,7.2,"Kayode Kasum, Bisola Aiyeola, Bamidele Akingbulu, Rhoda Albert, Samuel Asa'ah]",66
La Femme Anjola,2021,79,Thriller            ,7.2,"Mildred Okwo, Paul Adams, Jumoke Aderounmu, Nonso Bassey, Ego Boyo]",6
Falling,2015,86,Drama            ,7.2,"Niyi Akinmolayan, Kofi Adjorlolo, Lota Chukwu, Blossom Chukwujekwu, Tamara Eteimo]",22
Love Is War,2019,63,Drama            ,7.2,"Omoni Oboli, Fisayo Adefolaju, Shaffy Bello, William Benson, Yemi Blaq]",35
Seven,2019,90,Drama            ,7.2,"Tosin Igho, Kehinde Ajayi, Ogunsanwo Anita, Chiemela Azurunwa, Sadiq Daba]",32
For Maria Ebun Pataki,2020,109,Drama            ,7.2,"Damilola Orimogunje, Meg Otanwa, Gabriel Afolayan, Tunbosun Aiyedehin, Dayo Akinboro]",10
Behind Closed Doors,2005,138,Drama            ,7.2,"Add a Plot, Lancelot Oduwa Imasuen, Stella Damasus, Desmond Elliot, Lilian Ikpe, Richard Mofe-Damijo]",5
Wives on Strike,2018,95,"Action, Comedy, Crime            ",7.2,"See full summary, Uche Jombo, Yinka Pearce-Tijani, Kehinde Bankole, Chioma Chukwuka Akpotha]",11
Bastard Son of a Thousand Fathers,2016,113,"Comedy, Drama, Family            ",7.2,"Lanre Sarumi, Lanre Sarumi, Tirf Alexius, Remoh Romeo, Hugh Grady]",24
Funke!,2018,108,Drama            ,7.2,"Yemi Morafa, Segun Arinze, Eniola Badmus, Frank Donga, Mirachle Inyanda]",14
Sacred Lies,2011,17,"Comedy, Drama            ",7.2,"Add a Plot, Ikechukwu Onyeka, Genevieve Nnaji, Desmond Elliot, Nadia Buari, Ecow Smith-Asante]",5
Maradona,2003,81,Drama            ,7.2,"Add a Plot, Muka Ray Eyiwuni, Kayode Abolarin, Awofe Afolayan, Toyin Bakaare, Fathia Balogun]",13
Be with me,2022,90,Drama            ,7.2,"See full summary, Queen Edith Anidebe, Yannick Davidson Annoh, Emmanuel Chukwuedozie Chikwe, Princess Rita Gbiloko]",20
The Griot,2021,113,Drama            ,7.3,"Adeoluwa Owu, Abimbola Adebajo, Lateef Adedimeji, Yewande Adekoya, Jare Adeniregun]",28
Castle & Castle,2018,92,Comedy            ,7.3,"Blossom Chukwujekwu, Dakore Akande, Deyemi Okanlawon, Daniel Etim Effiong]",160
The New Normal,2020,120,Drama            ,7.3,"Teniola Olatoni, Adunni Ade, Bimbo Akintola, Kehinde Bankole, Yemi Blaq]",8
Arugba,2009,110,"Crime, Drama, Thriller            ",7.3,"Tunde Kelani, Remi Abiola, Segun Adefila, Jare Adeniregun, Folake Adeparusi]",18
O-Town,2015,109,Comedy            ,7.3,"See full summary, C.J. 'Fiery' Obasi, Paul Utomi, Brutus Richard, Ifeanyi Delvin, Chucks Chyke]",10
The Tom & Jerry 2,2003,110,Comedy            ,7.5,"Kenneth Egbuna, Ada Ameh, Osita Iheme, Chinedu Ikedieze, Larry Koldsweat]",8
Omo Ghetto: The Saga,2020,102,"Action, Adventure, Comedy            ",7.6,"Funke Akindele, Abdulrasheed Bello, Yewande Adebayo, Austin Adugbe, Mercy Aigbe, Esther Aikpokpoje]",78
Ratnik,2020,120,"Action, Sci-Fi            ",7.6,"See full summary, Dimeji Ajibola, Osas Ighodaro, Bolanle Ninalowo, Paul Utomi, Adunni Ade]",29
BlackRose,2018,136,Drama            ,7.6,"Add a Plot, Okechukwu Oku, Jide Kene Achufusi, Betty Bellor, Blossom Chukwujekwu, Austin Ezeh]",55
The Milkmaid,2020,105,Drama            ,7.6,"Desmond Ovbiagele, Maryam Booth, Ibrahim Jammal, Anthonieta Kalunta, Faruq Usman Kona]",28
LadyBuckit & The MotleyMopsters,2020,140,"Animation, Adventure, Fantasy            ",7.6,"See full summary, Adebisi Adetayo, Jessica Edwards, Patrick Doyle, Bimbo Akintola, Awazi Angbalaga]",8
Abeni,2006,109,Romance            ,7.6,"Tunde Kelani, Kareem Adepoju, Moufoutaou Akadiri, Aboh M. Akinocho, Abdel Hakim Amzat]",27
Iyore,2015,4,Drama            ,7.6,"See full summary, Frank Rajah Arase, Rita Dominic, Joseph Benjamin, Okawa Shaznay, Paul Obazele]",25
Sàngó: The Legendary African King,1998,120,Drama            ,7.6,"Femi Lesode, Wale Adebayo, Bunmi Sanya, Wale Ogunyemi, Jimi Sholanke]",17
Rush Hour 2,2007,104,"Drama, Romance            ",7.6,"Add a Plot, Afam Okereke, Tonto Charity Dikeh, Nonso Diobi, Uche Jombo, McMorris Ndubueze]",10
Emergency Wedding,2003,102,Short            ,7.6,"Add a Plot, Adim Williams, Abubakar Abu, Chukwuma Adimonye, Mercy Atubi, Clarion Chukwura-Abiola]",7
The Young Smoker,2011,115,"Drama, Romance            ",7.6,"Tope Oshin, Olakunle Fawole, Adedoyin Jayesimi, Adeleye Jayesimi]",5
Gidi Up,2013,51,"Action, Crime            ",7.6,"Oreka Godis, Demi Banwo, Adesua Etomi-Wellington, O.C. Ukeje]",16
Brotherhood,2022,100,Drama            ,7.7,"Loukman Ali, Jide Kene Achufusi, Adetayo Adebowale, Adebowale Adedayo, Kehinde Adeyanu]",105
The Therapist,2021,150,Action            ,7.7,"Kayode Kasum, Toyin Abraham, Oddman Emeka Aneke, Adeola Animashaun, Ijenebe Azubuike]",7
Mamba's Diamond,2021,125,"Action, Crime, Thriller            ",7.7,"Add a Plot, Seyi Babatope, Gabriel Afolayan, Venita Akpofure, Osas Ighodaro, Nse Ikpe-Etim]",6
Knockout Blessing,2018,125,Drama            ,7.7,"See full summary, Dare Olaitan, Ade Laoye, Bucci Franklin, Ademola Adedoyin, Linda Ejiofor]",18
Aya mi òwòn: Madam Dearest,2005,103,"Action, Drama, Romance            ",7.7,"Tade Ogidan, Deji Adenuga, Kareem Adepoju, Opeyemi Ayeola, Lanre Balogun]",11
Slave Warrior: The Begining,2007,105,Horror            ,7.7,"Oliver Mbamara, Chioma Adibe, Fabian Adibe, Regina Askia, Guile Branco]",8
The forest is dreadful,2022,105,Drama            ,7.7,"Val Sunny Olisemeka, Queen Edith Anidebe, Yannick Davidson Annoh, Emmanuel Chukwuedozie Chikwe, Happy Lukman]",22
White Waters,2007,90,Adventure            ,7.7,"Add a Plot, Izu Ojukwu, Fidelis Abdulrahman, B.S. Abok, Suleiman Adara, Tolu Daniel Aluko]",7
Harsh,2021,91,Reality-TV            ,7.7,"Marvelous Excel Agbogwe, Yannick Davidson Annoh, Emmanuel Chukwuedozie Chikwe, Princess Rita Gbiloko]",26
MTV Base Presents: Inside Life with Erica,2021,99,Drama            ,7.7,Erica Nlewedim],255
Rattle Snake,1995,117,Drama            ,7.8,"See full summary, Amaka Igwe, Ndidi Anyanuka, Francis Duru, Okey Igwe, Chris Iheuwa]",12
Glamour Girls,1994,130,Comedy            ,7.8,"Add a Plot, Chika Onukwufor, Remi Abiola, Kingsley Ahizu, Bukky Ajayi, Charity Peace Ameh]",13
Introducing the Kujus,2020,115,Adventure            ,7.8,"Biodun Stephen, Bisola Aiyeola, Femi Jacobs, Ronke Odusanya, Timini Egbuson]",19
Igodo,1999,106,Drama            ,7.8,"Andy Amenechi, Don Pedro Obaseki, Sam Dede, Amaechi Muonagor, Charles Okafor, Prince James Uche]",12
Agogo èèwò,2002,247,Drama            ,7.8,"Tunde Kelani, Awosika Ife Abosede, Gbenga Adebayo, Aderemi Adedeji, Tunde Adegbola]",9
Hustlers,2014,90,"Drama, Thriller            ",7.8,"See full summary, Elvis Chuks, Clarion Chukwura-Abiola, Ana Flavia Gavlak, Nse Ikpe-Etim, Ik Ogbonna]",29
Lotanna,2017,35,"Action, Thriller            ",7.8,"See full summary, Toka McBaror, Ama K. Abebrese, Henry Adofo, Chris Attoh, Liz Benson]",10
Blood Diamonds,2004,30,"Drama, Romance            ",7.8,"Add a Plot, Teco Benson, Zulu Adigwe, Hanks Anuku, Lanre Balogun, Eunice Becker]",10
Tokunboh,1999,88,Drama            ,7.8,"Mlemchukwu Prospect, Andre Mayers, Ursaline Bryant, Kate Henshaw-Nuttal, Pete Edochie]",17
Spotlight,2015,100,Drama            ,7.8,"Sunkanmi Adebayo, Desmond Elliot, Segun Arinze, Omoni Oboli, O.C. Ukeje]",18
Ijakumo: The Born Again Stripper,2022,105,Drama            ,7.9,"Adebayo Tijani, Toyin Abraham, Lilian Afegbai, Eso Dike, Antar Laniyan]",12
Gone,2021,46,Drama            ,7.9,"See full summary, Daniel Ademinokan, Bimbo Ademoye, Jumoke Aderounmu, Ahmed Adio, Gabriel Afolayan]",24
The Bodyguard,2018,99,Drama            ,8.0,"Chris Eneaji Eneng, Gloria Akhimien, Segun Arinze, Njoku Benjamin, Funny Bone]",37
Beyond Riches,2020,60,Action            ,8.0,"Add a Plot, Hamza Abdullah, Emmy Williams, Hamza Abdullah, Peter Achimugu, Sophy Adams]",9
 King of Boys: The Return of the King,2021,60,"Crime, Drama            ",8.0,"X, Kemi Adetiba, Sola Sobowale, Richard Mofe-Damijo, Remilekun Reminisce Safaru, Keppy Ekpenyong-Bassey]",17
Passport,2021,120,Comedy            ,8.1,"Add a Plot, Dimeji Ajibola, Daniel Abua, Lateef Adedimeji, Stephen Damian, Lina Idoko]",13
Breaded Life,2022,30,"Comedy, Drama, Fantasy            ",8.1,"Biodun Stephen, Lateef Adedimeji, Bimbo Ademoye, Dior Adiele, Bisola Aiyeola]",100
Obara'M,2021,43,"Drama, Musical            ",8.1,"Add a Plot, Kayode Kasum, Angeloh, Ikekhua Anthonia, William Chinoyenem, Sydney Egere]",8
Ajoche,2022,123,Drama            ,8.1,"Lota Chukwu, Chris Okagbue, Hilda Dokubo, Femi Branch]",8
Desperate Housewives Africa,2018,26,"Comedy, Mystery            ",8.1,"Samuel Abiola Robinson, Ozzy Agu, Joseph Benjamin, Kehinde Bankole]",33
Progressive Tailors Club,2015,93,Comedy            ,8.1,"Biodun Stephen, Adesina Adebayo, Alakija Adebayo, Femi Adebayo, Lateef Adedimeji]",8
Twins of the Rain Forest,2021,157,"Short, Drama            ",8.1,"See full summary, Odion P. Agboh, Olu Jacobs, Jude Orhorha, Joke Silva]",7
Heavy Rain,1999,60,Drama            ,8.1,"Add a Plot, Afam Okereke, Love Uzoma Akanah, Chioma Chukwuka Akpotha, Mary-Jane Alagboso, Lasa Amoro]",16
Maami,2004,60,Drama            ,8.1,"See full summary, Tunde Kelani, Funke Akindele, Wole Ojo, Ayomide Abatti, Tamilore Kuboye]",18
Dangerous Twins,2011,30,Drama            ,8.1,"See full summary, Tade Ogidan, Bimbo Akintola, Lanre Balogun, Stella Damasus, Danielle Moubarak]",10
Letters to a Stranger,2004,119,"Drama, Romance            ",8.1,"Fred Amata, Fred Amata, Eucharia Anunobi Ekwu, Segun Arinze, D. Banj]",10
 King of Boys: The Return of the King,2007,99,"Crime, Drama            ",8.1,"X, Kemi Adetiba, Sola Sobowale, Nse Ikpe-Etim, IllBliss, Remilekun Reminisce Safaru]",16
 King of Boys: The Return of the King,2021,30,"Crime, Drama            ",8.1,"X, Kemi Adetiba, Sola Sobowale, IllBliss, Remilekun Reminisce Safaru, Efa Iwara]",17
Before 30,2021,93,Drama            ,8.2,"Damilola Adegbite, Tunbosun Aiyedehin, Zainab Balogun, Patrick Diabuah]",21
Christmas in Miami,2021,93,Comedy            ,8.2,"See full summary, Robert Peters, Manoj Chandra, Verne Alexandre, John Amos, Azariea Burchett]",69
Ayinla,2021,84,Drama            ,8.2,"Tunde Kelani, Edunjobi Abdulganiu, Adebowale Adedayo, Lateef Adedimeji, Bimbo Ademoye]",39
2 Rats,2015,8,"Comedy, Family            ",8.2,"Add a Plot, Andy Chukwu, Andy Chukwu, Ricky Ezeh, Osita Iheme, David Ihesie]",5
Mr Ibu,2021,82,Comedy            ,8.2,"Add a Plot, Andy Chukwu, John Okafor, Osita Iheme, Stephen Ahanaonu, Jennifer Nduka]",16
Super Eagles '96,2021,66,Documentary            ,8.2,"Add a Plot, Yemi Bamiro]",5
Journey of an African Colony: The Making of Nigeria,2003,110,Documentary            ,8.2,],29
The Wig,2004,9,"Drama, Fantasy, Romance            ",8.2,"Patrick Odjegba, Okereke Jessica Adaobi, Ojiri Adetoun, Omobola Akinde, Patience Akwubo]",15
A Million Tears,2022,105,"Drama, Romance            ",8.2,"Add a Plot, Tchidi Chikere, Patrick Doyle, Kate Henshaw-Nuttal, Emeka Ike]",6
The Narrow Path,2019,36,Drama            ,8.2,"Add a Plot, Tunde Kelani, S. Ade Abiodun, Remi Abiola, Segun Adefila, Deji Aderemi]",7
Kasarmu Ce: This Land Is Ours,2021,60,Thriller            ,8.2,"See full summary, Saddik Balewa, Umaru Uba Gaya, Mustafa Mohammed, Sani Muhammad Shira, Kasimu Yaro]",8
Turtle Taido: The Story of the Elephant (director's cut),2006,93,"Short, Family            ",8.2,"See full summary, Artie Romero, Patience Bassey, Adanma Kayode, Muyiwa Kayode]",7
The Chosen One 2,2006,82,Drama            ,8.2,"Add a Plot, Jayke Aernan, Psalm Adjeteyfio, Kofi Adjorlolo, Jayke Aernan, Genevieve Nnaji]",7
Baby Police,1991,60,"Comedy, Drama, Family            ",8.3,"See full synopsis, Amayo Uzo Philips, Daniel Agadaga, Uchenna Agu, Oluchi Agunwa, Ozo Akubueze]",43
