Names,Years,Duration,Genre,Rating,Stars,Votes
"Mum, Dad, Meet Sam",2014,81,"Action, Drama            ",4.3,"Tony Sebastian Ukpo, Anthony Ofoegbu, Tino Orsini, Joseph Benjamin, Emily Lucienne]",120
Darkest Night 2,2005,96,Comedy            ,4.3,"Add a Plot, Ifeanyi Onyeabor, Prince Emeka Ani, Segun Arinze, Sam Dede, Kalu Ikeagwu]",12
The Accidental Spy,2017,104,Action            ,4.5,"Roger Russell, Judith Akuta, Christine Allado, Dan Allen, Steve Broad]",78
The Ghost and the Tout,2018,103,"Comedy, Fantasy            ",4.5,"Charles Uwagbai, Toyin Abraham, Sambasa Nzeribe, Chioma Chukwuka Akpotha, Chioma Omeruah]",33
The Wedding Party 2: Destination Dubai,2017,98,Comedy            ,4.6,"See full summary, Niyi Akinmolayan, Banky Wellington, Adeolu Adefarasin, Alibaba Akporobome, Majed AlZubaidi]",314001
Country Hard,2021,119,"Crime, Drama            ",4.6,"Paul Utomi, Kehinde Bankole, Tope Tedela, Timini Egbuson, Omowunmi Dada]",14
Adam & Eve,2003,70,"Drama, Romance            ",4.6,"Add a Plot, Charles Novia, Sam Dede, Kate Effiong, Ngozi Ezeonu, Kate Henshaw-Nuttal]",6
Discontent,2017,40,Drama            ,4.6,"Add a Plot, Onesoul, Joy Ada, Seun Akindele, Shaffy Bello, Omena Daniels]",6
Shanty Town,2023,110,"Action, Crime, Drama            ",4.7,"Sola Sobowale, Nancy Isime, Richard Mofe-Damijo, Chidi Mokeme]",282
The Set Up 2,2022,99,"Crime, Drama            ",4.7,"Chinaza Onuzo, Grace Abah, Oyindamola Adewale, Lilian Afegbai, Seun Akindele]",43
Chief Daddy,2018,126,Comedy            ,4.7,"See full summary, Niyi Akinmolayan, Bisola Aiyeola, Dakore Akande, Funke Akindele, Zainab Balogun]",293
Dwindle,2021,117,Comedy            ,4.7,"Kayode Kasum, Dare Olaitan, Jide Kene Achufusi, Lateef Adedimeji, Bisola Aiyeola, Funke Akindele]",20
Crazy Grannies,2021,81,"Comedy, Drama            ",4.7,"Tope Alake, Kayode Peters, Rosemary Abazie, Adebowale Adedayo, Princess Damilola Adekoya, Pearl Agwu]",19
Dazzling Mirage,2014,105,Drama            ,4.7,"Add a Plot, Tunde Kelani, Jumoke Aderounmu, Dupe Adetuwo, Kunle Afolayan, Tunji Afolayan]",10
Catch.er,2017,109,"Crime, Drama            ",4.7,"Walter Taylaur, Gbenro Ajibade, Blossom Chukwujekwu, Omowunmi Dada, Alexx Ekubo]",32
Queen,2004,106,Drama            ,4.7,"Add a Plot, Jeta Amata, Halimar Abubakar, Ansa Ekpo Bassey, Stella Damasus, Richard Mofe-Damijo]",12
True Romance 2,2004,12,"Drama, Romance            ",4.8,"Chico Ejiro, Lilian Bach, Rita Dominic, Desmond Elliot, Richard Mofe-Damijo]",11
A Soldier's Story 2,2020,106,Action            ,4.8,"Frankie Ogar, Eric Roberts, John J. Vogel, Daniel K. Daniel, Somkele Iyamah-Idhalama]",54
When Love Happens,2014,135,Romance            ,4.8,"Seyi Babatope, Shaffy Bello, Kc Ejelonu, Keppy Ekpenyong-Bassey, Desmond Elliot]",134
Crazy People,2018,99,"Comedy, Thriller            ",4.8,"Moses Inwang, Kunle Afolayan, Gift Amaka Anizoba, Funny Bone, Monalisa Chinda]",19
Little Astro Boy,2019,104,"Animation, Comedy, Family            ",4.8,"Adam Fedyk, Andrew Creightney, Shannon Chan-Kent, Ashley Alexander]",10
Mr Ibu in London,2004,106,Comedy            ,4.8,"Add a Plot, Adim Williams, John Okafor, Kareem Adepoju, Marian Davies, Lanre Falana]",8
Darkest Night,2005,106,"Action, Drama            ",4.8,"Add a Plot, Ifeanyi Onyeabor, Prince Emeka Ani, Segun Arinze, Sam Dede, Kalu Ikeagwu]",13
The Prince and Me 2,2006,93,Drama            ,4.8,"Add a Plot, Ikechukwu Onyeka, Chioma Chukwuka Akpotha, Emeka Amakeze, Mike Ezuruonye, Olu Jacobs]",369
Out of Luck,2015,91,Thriller            ,4.8,"Add a Plot, Niyi Akinmolayan, Femi Branch, Linda Ejiofor, Adesua Etomi-Wellington, Adeniyi Johnson]",7
The Kingmaker,2003,98,Drama            ,4.8,"Add a Plot, Fred Amata, Zulu Adigwe, Bukky Ajayi, Iyabo Amoke, Enebeli Elebuwa]",9
RattleSnake: The Ahanna Story,2020,104,Drama            ,4.9,"See full summary, Ramsey Nouah, Stan Nze, Osas Ighodaro, Bucci Franklin, Odera Adimorah]",119
Something Wicked,2017,110,Thriller            ,4.9,"Yemi Morafa, Gabriel Afolayan, Bisola Aiyeola, Omowunmi Dada, Iretiola Doyle]",9
The Department,2015,97,"Romance, Thriller            ",4.9,"See full summary, Remi Vaughan-Richards, Chima Adighije, Seun Akindele, Olisa Anolia, Great Cool]",32
Namaste Wahala,2021,124,"Drama, Romance            ",5.0,"Hamisha Daryani Ahuja, Ini Dima Okojie, Ruslaan Mumtaz, Richard Mofe-Damijo, Joke Silva]",1588
Merry Men: The Real Yoruba Demons,2018,108,"Action, Comedy            ",5.0,"See full summary, Toka McBaror, Abbey Chile Abuede, Damilola Adegbite, Lilian Afegbai, Amanna Agu]",145
Legacy,2010,95,Thriller            ,5.0,"Eromose, Idris Elba, William Hope, Monique Gabriela Curnen, Richard Brake]",1382
The Price,2017,110,Drama            ,5.0,"Anthony Onah, Lucy Griffiths, Michael Hyatt, Peter Vack, Bill Sage]",280
A Trip to Jamaica,2016,102,"Comedy, Drama            ",5.0,"Robert Peters, Ayo Makun, Funke Akindele, Nse Ikpe-Etim, Dan Davies]",71
Sylvia,2018,150,"Fantasy, Romance, Thriller            ",5.0,"Daniel Oriahi, Zainab Balogun, Chris Attoh, Ini Dima Okojie, Udoka Oyeka]",139
Okafor's Law,2016,100,"Comedy, Drama, Romance            ",5.0,"See full summary, Omoni Oboli, Toyin Abraham, Halimar Abubakar, Muyiwa Adedeji, Tomi Adeoye]",53
Unroyal,2020,111,"Comedy, Romance            ",5.0,"Moses Inwang, Kingsley Abasili, Weme Charity Ada, Femi Adebayo, Erica Joy Awaji]",14
5:55,2021,110,"Comedy, Drama, Romance            ",5.0,"Chibuzor Afurobi, Rita Edward, Bucci Franklin, Priye George, Keira Hewatch]",57
Lost in London,2017,4,Comedy            ,5.0,"See full summary, Sunkanmi Adebayo, Alexx Ekubo, Ime Bishop Umoh, Ella Bates, Kemi Lofinmakin]",42
Tainted Canvas,2020,96,"Drama, Romance            ",5.0,"Segilola Ogidan, Nonso Bassey, Tina Mba, Efa Iwara, Segilola Ogidan]",40
We Don't Live Here Anymore,2018,120,Drama            ,5.0,"Tope Oshin, Francis Sule, Temidayo Akinboro, Funlola Aofiyebi, Katherine Obiang]",33
Just Not Married,2016,16,Comedy            ,5.0,"Uduak-Obong Patrick, Perpetua Adefemi, Seun Afolabi, Ijeoma Grace Agu, Larry Homs Ahmed]",9
Sugar Rush,2019,120,"Action, Comedy            ",5.2,"Kayode Kasum, Lateef Adedimeji, Bimbo Ademoye, Bisola Aiyeola, Uzor Arukwe]",118
The Island,2018,94,"Action, Thriller            ",5.2,"See full summary, Toka McBaror, Femi Adebayo, Segun Arinze, Sukanmi Bahlofin, Tokunbor Idowu]",40
Dear Affy,2020,126,"Comedy, Romance            ",5.2,"Samuel Olatunji, Toyin Abraham, Seilat Adebowale, Bimbo Ademoye, Chiwetalu Agu]",5
Let Karma,2019,90,Drama            ,5.2,"Biodun Stephen, Ray Adeka, Bisola Aiyeola, Evelyn Bada, Blossom Chukwujekwu]",7
Deal or No Deal,2007,95,Game-Show            ,5.2,"Add a Plot, John Fashanu]",6
War Game 2,2006,90,"Action, Drama, Thriller            ",5.2,"Add a Plot, Obi Callys Obinali, Chigozie Atuanya, Nonso Diobi, Ini Edo, Oge Okoye]",12
Black November,2012,107,"Action, Crime, Drama            ",5.3,"Jeta Amata, Mbong Amata, Enyinna Nwigwe, Hakeem Kae-Kazim, Anne Heche]",664
The Royal Hibiscus Hotel,2017,94,"Comedy, Romance            ",5.3,"Ishaya Bako, Zainab Balogun, Kenneth Okolie, Jide Kosoko, Rachel Oniga]",304
New Money,2018,109,"Drama, Fantasy            ",5.3,"Tope Oshin, Adeolu Adefarasin, Dakore Akande, Tayo Akinsipe, Amaka Akukwe]",77
Finding Hubby 2,2022,100,"Comedy, Romance            ",5.3,"Olufemi Ogunsanwo, Rosemary Abazie, Munachi Abii, Omobola Akinde, Teniola Aladese]",21
Black Gold,2011,113,Drama            ,5.3,"Jeta Amata, Mbong Amata, Tom Sizemore, Vivica A. Fox, Hakeem Kae-Kazim]",289
Day of Destiny,2021,142,"Adventure, Drama, Sci-Fi            ",5.3,"Akay Ilozobhie, Abosi Ogba, Olumide Oworu, Denola Grey, Gbemi Akinlade, Jide Kosoko]",48
The Snake Girl,2006,84,Drama            ,5.3,"Add a Plot, Emeka Hill Umeasor, Emeka Ike, Oge Okoye, Akume Akume, Maureen Solomon]",12
The Arbitration,2016,99,Drama            ,5.3,"Niyi Akinmolayan, Fiyin Adebayo, Bimbo Ademoye, Bunmi Ajakaiye, Lota Chukwu]",129
Miz Behaviour,2020,120,Comedy            ,5.3,"Biodun Stephen, Bimbo Ademoye, Sarah Ebegbe, Ebenezer Eno, Blessing Jessica Obasi-Nze]",9
Anikulapo,2022,100,"Drama, Fantasy            ",5.4,"Kunle Afolayan, Adebowale Adedayo, Aderemi Adedeji, Bimbo Ademoye, Kareem Adepoju]",379
Lockdown,2021,116,Thriller            ,5.4,"Moses Inwang, Jide Kene Achufusi, Omini Aho, Chioma Chukwuka Akpotha, Josh Alfred]",51
Juju Stories,2021,58,"Drama, Fantasy, Horror            ",5.4,"Abba Makama, C.J. 'Fiery' Obasi, Michael Omonua, Belinda Agedah Yanga, Paul Utomi, Elvis Poko, Don Ekwuazi]",122
Up North,2018,100,Drama            ,5.4,"See full summary, Tope Oshin, Adzi Adamu, David Aisekhaleye, Rekiya Attah, Andy Bature]",159
The Man for the Job,2022,12,Drama            ,5.4,"Niyi Akinmolayan, Akintoba Adeoluwa, Rita Anwarah, Uzor Arukwe, Ali Baba]",33
The Amazing Grace,2006,83,"Drama, History            ",5.4,"Jeta Amata, Nick Moran, Scott Cleverdon, Mbong Amata, Fred Amata]",118
Made in Heaven,2019,224,"Comedy, Fantasy, Romance            ",5.4,"Add a Plot, Toka McBaror, Toyin Abraham, Dauda Adewale, Donia Mako Adewoye, Amaka Ann Amamchukwu]",6
Heart of a Fighter,2011,118,Drama            ,5.4,"Ifeanyi Ogbonna, Ramsey Nouah, Mercy Johnson Okojie, Enebeli Elebuwa, Chika Ike]",5
Almost Had You,2021,110,"Drama, Romance            ",5.4,"Richards Omos-Iboyi, Ayomide Ajibo, Norbert Asikhia, Jibola Dabo, Bryan Emmanuel]",7
Besida,2018,90,"Short, Drama            ",5.4,"See full summary, Chuko Esiri]",19
Matters Arising,2014,115,Comedy            ,5.4,"Pascal Amanfo, Mercy Akanyak, Pascal Amanfo, Johnson Chineye, Emilia Dikeh]",8
Blood Sisters,2022,82,"Crime, Drama, Thriller            ",5.5,"Nancy Isime, Ini Dima Okojie, Uche Jombo, Kehinde Bankole]",1018
'76,2016,120,"Drama, Romance            ",5.5,"Izu Ojukwu, Efetobore Afatakpa, Tunde Alabi, Bisi Ariyo, Preach Bassey]",248
Payday,2018,10,Comedy            ,5.5,"Cheta Chukwu, Baaj Adebule, Ame Aiyejina, Bisola Aiyeola, Orwi Manny Ameh]",28
Dangerous Men: First Chapter,2011,106,Action            ,5.5,"GuGu E. Michaels, Akeyno, Leo U. Che, George Davidson, GuGu E. Michaels]",29
Slow Country,2017,130,"Action, Drama            ",5.5,"See full summary, Eric Aghimien, Ivie Okujaye, Sambasa Nzeribe, Tope Tedela, Majid Michel]",37
The Eve,2018,94,Romance            ,5.5,"Tosin Igho, Adeolu Adefarasin, Hauwa Allahbura, Uche Ben, Jagila Donatus]",12
Unwanted Guest,2011,115,Drama            ,5.5,"Daniel Ademinokan, Vivian Achor, Daniel Ademinokan, Sophy Aiida, Adetutu Ajibose]",11
Living in Bondage 2,1993,101,Drama            ,5.5,"Add a Plot, Chris Obi Rapu, Francis Agu, Grace Ayozie, Sydney Diala, Ngozi Nwaneto]",8
A Cemetery of Doves,2018,102,"Short, Drama            ",5.5,"Adetokunboh Sangodoyin, Adelaja Adebayo, Michael Asuelime]",16
Òlòturé,2019,95,"Crime, Drama            ",5.6,"Kenneth Gyang, Ada Ameh, Beverly Osu, Blossom Chukwujekwu, Bukola Oladipupo]",831
Eagle Wings,2021,105,Thriller            ,5.6,"Paul Apel Papel, Sadiq Daba, Francis Duru, Jamila Ibrahim, Femi Jacobs]",355
Sharon Stone,2002,106,"Drama, Romance            ",5.6,"Add a Plot, Adim Williams, Abuchi Adim, Funke Akindele, Remi Bangbade, Peter Bunor]",5
The Millions,2019,137,"Comedy, Crime, Thriller            ",5.6,"See full summary, Toka McBaror, Toyin Abraham, Vera Chidera, Blossom Chukwujekwu, Folusho Kayode Durojaiye]",56
The Bridge,2017,38,"Drama, Romance            ",5.6,"Kunle Afolayan, Ademola Adedoyin, Chedinma Ekile, Kunle Afolayan, Zack Orji]",40
Far from Home,2022,32,Drama            ,5.8,"Richard Mofe-Damijo, Mike Afolarin, Adesua Etomi-Wellington, Funke Akindele]",293
God Calling,2018,120,Drama            ,5.8,"Bodunrin Sasore, Ademola Adedoyin, Seun Ajayi, Zainab Balogun, Patrick Diabuah]",157
All Na Vibes,2021,80,Drama            ,5.8,"Taiwo Egunjobi, Adeola Layade Azaria, Aderinoye Babatunde, Molawa Davis, Dami Deremi]",13
Badamasi (Portrait of a General),2021,135,"Biography, History, Thriller            ",5.8,"Obi Emelonye, Tony Aclet, Chris Ada, Nnamdi Agbo, Julius Agwu]",33
Beyonce & Rihanna,2008,135,"Drama, Romance            ",5.8,"See full synopsis, Afam Okereke, Jim Iyke, Omotola Jalade-Ekeinde, Nadia Buari, Uche Jombo]",18
Still Falling,2021,105,"Drama, Romance            ",5.8,"Dimbo Atiya, Karachi Atiya, Frank Abumere, Charity Adamu, Liz Benson, Clara Chapp-Jumbo]",34
The CEO,2016,95,"Drama, Mystery, Thriller            ",5.8,"Kunle Afolayan, Angélique Kidjo, Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo]",124
The Lost Okoroshi,2019,105,"Action, Adventure, Drama            ",5.8,"Abba Makama, Seun Ajayi, Judith Audu, Tope Tedela, Olaye Benjamin]",191
Brave Heart 2,2005,102,Drama            ,5.8,"Add a Plot, John Uche, Emma Ayalogu, Emma Edokpay, Omotola Jalade-Ekeinde, Zack Orji]",12
Light in the Dark,2020,112,Thriller            ,5.8,"Ekene Som Mekwunye, Doddy Abili, Bimbo Ademoye, Marie Awolaja, Saidi Balogun]",42
Ajuwaya,2017,102,"Drama, Mystery            ",5.8,"Add a Plot, Tolu Lordtanner, Kemi Lala Akindoju, Christopher Darko, Timini Egbuson, Lanre Hassan]",6
Seven and a Half Dates,2018,91,Drama            ,5.8,"Add a Plot, Biodun Stephen, Toyin Abraham, Prince Agho, Roxy Antak, Fathia Balogun]",6
